lekon	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_english	nt_idn	nt_tapah	nt_comment	nt_xref	Concepticon_Gloss	Concepticon_ID	concept_url
1. bangkè	1	bangkè		lichaam	body	badan, tubuh	4	4	1	FALSE									BODY	1480	https://concepticon.clld.org/parameters/1480
2. oeloe	2	oeloe		hoofd	head	kepala	5	5	2	TRUE									HEAD	1256	https://concepticon.clld.org/parameters/1256
3. bangòn	3	bangòn		gezicht, aangezicht	face	muka, wajah	6	6	3	FALSE									FACE	1560	https://concepticon.clld.org/parameters/1560
4. mata bangòt	4	mata bangòt		voorhoofd	forehead	dahi	24	25	4	FALSE									FOREHEAD	123	https://concepticon.clld.org/parameters/123
5. lalar oeloe	5	lalar oeloe		schedel	skull	tempurung kepala	26	27	5	FALSE									SKULL	1605	https://concepticon.clld.org/parameters/1605
6. bó oeloe	6	bó oeloe		hoofdhaar	hair	rambut	72	73	6	TRUE									HAIR	1040	https://concepticon.clld.org/parameters/1040
8. boefoes	8	boefoes		kruin (v.h.hoofd)	crown	hulu kepala	7	7	8	FALSE									CROWN (OF HEAD)	1943	https://concepticon.clld.org/parameters/1943
9. kójó kójó	9	kójó kójó		oor	ear	telinga	8	8	9	TRUE									EAR	1247	https://concepticon.clld.org/parameters/1247
11. mata	11	mata		oog	eye	mata	9	9	11	TRUE									EYE	1248	https://concepticon.clld.org/parameters/1248
15. ling-ar mata	15	ling-ar mata		wenkbrauw	eyebrow	alis (tunggal)	25	26	-	FALSE									EYEBROW	1173	https://concepticon.clld.org/parameters/1173
17. òwil mata	17	òwil mata		traan	tear	air mata (tunggal)	10	10	-	FALSE									TEAR (OF EYE)	1651	https://concepticon.clld.org/parameters/1651
18. ichóng	18	ichóng		neus	nose	hidung	11	11	16	TRUE									NOSE	1221	https://concepticon.clld.org/parameters/1221
20. bèngòh bèngòh	20	bèngòh bèngòh		snot	mucus	ingus	-	12	18	FALSE									NASAL MUCUS (SNOT)	208	https://concepticon.clld.org/parameters/208
21. asang	21	asang		wang	cheek	pipi	23	24	19	FALSE									CHEEK	1730	https://concepticon.clld.org/parameters/1730
22. babah	22	babah		mond	mouth	mulut	12	13	-	TRUE									MOUTH	674	https://concepticon.clld.org/parameters/674
25. bìfìl	25	bìfìl		lippen	lips	bibir (jamak)	13	14	-	FALSE									LIP	478	https://concepticon.clld.org/parameters/478
27. koemi	27	koemi		knevel	moustache	kumis	21	22	23	FALSE									MOUSTACHE	1165	https://concepticon.clld.org/parameters/1165
28. djanggoet	28	djanggoet		sik	goatee	janggut seperti, janggut kambing	22	23	-	FALSE									BEARD	678	https://concepticon.clld.org/parameters/678
29. seungeu	29	seungeu		kin	chin	dagu	19	20	24	FALSE									CHIN	1510	https://concepticon.clld.org/parameters/1510
30. bau <1>	30	bau	1	baard	beard	janggut	20	21	25	FALSE			djambè	whiskers					BEARD	678	https://concepticon.clld.org/parameters/678
31. dilah	31	dilah		tong	tongue	lidah	15	16	26	TRUE									TONGUE	1205	https://concepticon.clld.org/parameters/1205
32. teumbah teumbah	32	teumbah teumbah		verhemelte	palate	langit-langit	16	17	27	FALSE									PALATE	540	https://concepticon.clld.org/parameters/540
33. ihên	33	ihên		tand	tooth	gigi	17	18	28	TRUE									TOOTH	1380	https://concepticon.clld.org/parameters/1380
34. baingan	34	baingan		kies	molar	geraham	18	19	29	FALSE									MOLAR TOOTH	1049	https://concepticon.clld.org/parameters/1049
35. ngèngèn	35	ngèngèn		tandvlees	gums	gusi	-	-	30	FALSE									GUMS	139	https://concepticon.clld.org/parameters/139
37. lógoeng	37	lógoeng		keel	throat	kerongkongan	14	15	32	FALSE									THROAT	1346	https://concepticon.clld.org/parameters/1346
38. lingêl	38	lingêl		hals	neck	leher	27	28	33	TRUE									NECK	1333	https://concepticon.clld.org/parameters/1333
41/42. toetoe	41/42	toetoe		borsten < unsp. >	breasts	payudara	34	36	-	TRUE									BREAST	1402	https://concepticon.clld.org/parameters/1402
45. matan toetoe	45	matan toetoe		tepel	nipple	puting susu	35	37	38	FALSE									NIPPLE	796	https://concepticon.clld.org/parameters/796
46. owil toetoe	46	owil toetoe		melk	breast milk	air susu	36	38	39	FALSE									BREAST MILK	3912	https://concepticon.clld.org/parameters/3912
48. mêntjòfí	48	mêntjòfí		zuigen <aan de borst>	to suck at the breast	menyusu	38	39	40	FALSE									SUCKLE (BREASTFEED, NURSE)	2472	https://concepticon.clld.org/parameters/2472
50. sòt loesó	50	sòt loesó		rib	rib	tulang rusuk	69	70	42	FALSE									RIB	801	https://concepticon.clld.org/parameters/801
52. amatan	52	amatan		hart	heart	jantung	29	31	44	TRUE									HEART	1223	https://concepticon.clld.org/parameters/1223
53. bísìl	53	bísìl		maag	stomach	lambung	28	30	-	FALSE									STOMACH	819	https://concepticon.clld.org/parameters/819
54. bísìl	54	bísìl		bulk	belly	perut	31	33	45	TRUE									BELLY	1251	https://concepticon.clld.org/parameters/1251
56. bala	56	bala		lever	liver	hati	30	32	47	TRUE									LIVER	1224	https://concepticon.clld.org/parameters/1224
57. mahairéw	57	mahairéw		gal	bile	empedu	-	29	48	FALSE									BILE	1780	https://concepticon.clld.org/parameters/1780
61. oecheu	61	oecheu		navel	navel	pusat	32	34	52	FALSE									NAVEL	1838	https://concepticon.clld.org/parameters/1838
62. oechòi	62	oechòi		navelstreng	umbilical cord	tali pusat	33	35	53	FALSE		ocr error as tall pusat							UMBILICAL CORD	2663	https://concepticon.clld.org/parameters/2663
63. tètè	63	tètè		rug	back	belakang, punggung	39	40	54	TRUE									BACK	1291	https://concepticon.clld.org/parameters/1291
65. arifalang	65	arifalang		schouder	shoulder	bahu	-	-	56	FALSE									SHOULDER	1482	https://concepticon.clld.org/parameters/1482
66. kikè	66	kikè		schouderblad	shoulderblade	tulang belikat	43	44	-	FALSE									SHOULDERBLADE	172	https://concepticon.clld.org/parameters/172
68. poenggoeng	68	poenggoeng		bil	buttock	pantat bagian kiri atau kanan	45	46	-	FALSE		ocr error as belgian but also fixed the Indonesian spelling to bagian							BUTTOCKS	834	https://concepticon.clld.org/parameters/834
69. dalan taǐ	69	dalan taǐ		achterste	posterior, buttocks	pantat	44	45	-	FALSE									BUTTOCKS	834	https://concepticon.clld.org/parameters/834
70. sòt poenggoeng	70	sòt poenggoeng		stuit	tailbone, coccyx	tulang tungging, tulang ekor	46	47	57	FALSE										NA	https://concepticon.clld.org/parameters/NA
72. mataǐ	72	mataǐ		poepen	to defecate	berak	172	176	60	FALSE									SHIT (DEFECATE)	676	https://concepticon.clld.org/parameters/676
73. taǐ	73	taǐ		poep	faeces	tahi	173	177	61	FALSE									FAECES (EXCREMENT)	675	https://concepticon.clld.org/parameters/675
75. bêtoet	75	bêtoet		wind laten	to fart	berkentut	174	179	63	FALSE									FART	1159	https://concepticon.clld.org/parameters/1159
76. afoeroeh	76	afoeroeh		stinken	to stink, to smell	berbau busuk	-	178	64	FALSE									SMELL (STINK)	1587	https://concepticon.clld.org/parameters/1587
77. mau	77	mau		penis	penis	batang pelir	47	48	65	FALSE									PENIS	1222	https://concepticon.clld.org/parameters/1222
78. tiè	78	tiè		vagina	vagina	puki, liang peranakan	48	49	67	FALSE									VAGINA	1836	https://concepticon.clld.org/parameters/1836
82. machi-eu	82	machi-eu		pissen	to urinate	kencing (k.k.)	170	174	69	FALSE									PISS	592	https://concepticon.clld.org/parameters/592
83. chi-eu	83	chi-eu		pis	piss, urine	air kencing (k.b.)	171	175	70	FALSE									URINE	1142	https://concepticon.clld.org/parameters/1142
84. cha-eu/gha-eu	84	cha-eu/gha-eu		been	leg	kaki	49	50	-	TRUE		typo from leki							LEG	1297	https://concepticon.clld.org/parameters/1297
86. ka-eu	86	ka-eu		voet	foot	kaki	54	55	55	TRUE		typo from leki							FOOT	1301	https://concepticon.clld.org/parameters/1301
88. matan sal	88	matan sal		enkel	ankle	buku kaki, pergelangan kaki	55	56	73	FALSE									ANKLE	803	https://concepticon.clld.org/parameters/803
90. paha	90	paha		dij	thigh	paha	50	51	75	FALSE									UPPER LEG (THIGH)	471	https://concepticon.clld.org/parameters/471
91. mátan tór	91	mátan tór		knie	knee	lutut	51	52	76	TRUE									KNEE	1371	https://concepticon.clld.org/parameters/1371
93. ísìn bítìs	93	ísìn bítìs		knit	calf	betis	52	53	78	FALSE									CALF OF LEG	498	https://concepticon.clld.org/parameters/498
94. dóloeq	94	dóloeq		scheen	shin	tulang kering	53	54	79	FALSE									SHIN	186	https://concepticon.clld.org/parameters/186
95. kau	95	kau		arm	arm	lengan	40	41	-	FALSE									ARM	1673	https://concepticon.clld.org/parameters/1673
97. ka-ò	97	ka-ò		hand	hand	tangan	56	57	-	TRUE									HAND	1277	https://concepticon.clld.org/parameters/1277
99. èchèt	99	èchèt		oksel	armpit	ketiak	42	43	82	FALSE									ARMPIT	1886	https://concepticon.clld.org/parameters/1886
100. matan sioe	100	matan sioe		elleboog	elbow	siku	41	42	83	FALSE									ELBOW	981	https://concepticon.clld.org/parameters/981
102. daloeaq ka-ò	102	daloeaq ka-ò		handpalm	palm of the hand	telapak tangan	57	58	85	FALSE									PALM OF HAND	1183	https://concepticon.clld.org/parameters/1183
105. ana' ka-ò	105	ana' ka-ò		vingers	fingers	jari tangan (jamak)	58	59	-	FALSE									FINGER	1303	https://concepticon.clld.org/parameters/1303
107. tènap	107	tènap		nagel	(finger)nail	kuku	59	60	89	FALSE									FINGERNAIL OR TOENAIL	1896	https://concepticon.clld.org/parameters/1896
108. alafèn ka-ò	108	alafèn ka-ò		duim	thumb	ibu jari	60	61	90	FALSE									THUMB	1781	https://concepticon.clld.org/parameters/1781
109. itoe toeroe	109	itoe toeroe		wijsvinger	index finger	telunjuk	61	62	91	FALSE									FOREFINGER	577	https://concepticon.clld.org/parameters/577
110. sitoemasi	110	sitoemasi		middelvinger	middle finger	jari tengah	62	63	92	FALSE									MIDDLE FINGER	3387	https://concepticon.clld.org/parameters/3387
112. ana' ka-ò	112	ana' ka-ò		pink	little finger	kelingking	64	65	94	FALSE									LITTLE FINGER	2774	https://concepticon.clld.org/parameters/2774
115. sòt	115	sòt		been (gebeente)	bone	tulang	65	66	97	TRUE									BONE	1394	https://concepticon.clld.org/parameters/1394
116. dalah	116	dalah		bloed	blood	darah	66	67	98	TRUE									BLOOD	946	https://concepticon.clld.org/parameters/946
117. isí	117	isí		vlees op het lichaam	flesh	daging	67	68	99	FALSE									FLESH OR MEAT	2615	https://concepticon.clld.org/parameters/2615
118. òlor	118	òlor		pees	tendon	urat	68	69	100	FALSE									TENDON	1137	https://concepticon.clld.org/parameters/1137
121. bìbì	121	bìbì		huid	skin	kulit	70	71	101	TRUE									SKIN	763	https://concepticon.clld.org/parameters/763
122. bó	122	bó		haar op het lichaam	body hair	bulu	71	72	102	FALSE									HAIR (BODY)	189	https://concepticon.clld.org/parameters/189
123. bó	123	bó		haar op het lichaam (v. dieren)	body hair (animal)	bulu (binatang)	71	72	-	FALSE									FUR	580	https://concepticon.clld.org/parameters/580
124. iraq	124	iraq		zweet	sweat	keringat	73	74	103	FALSE									SWEAT (SUBSTANCE)	125	https://concepticon.clld.org/parameters/125
125. iloel	125	iloel		speeksel	saliva	ludah	74	75	104	FALSE									SALIVA	1503	https://concepticon.clld.org/parameters/1503
126. matan tòhò	126	matan tòhò		fluim	phlegm	dahak	-	76	105	FALSE									PHLEGM	3061	https://concepticon.clld.org/parameters/3061
127. asêng asêng	127	asêng asêng		ademen	to breath	bernapas	115	116	106	FALSE									BREATH OR BREATHE	3183	https://concepticon.clld.org/parameters/3183
128. mangan	128	mangan		eten	to eat	makan	116	117	107	TRUE	eat								EAT	1336	https://concepticon.clld.org/parameters/1336
129. malahal	129	malahal		hongerig	hungry	lapar	734	752	108	FALSE									BE HUNGRY	1533	https://concepticon.clld.org/parameters/1533
130. manginòm	130	manginòm		drinken	to drink	minum	117	118	109	TRUE	drink								DRINK	1401	https://concepticon.clld.org/parameters/1401
132. mango mango	132	mango mango		dorstig	thirsty	haus	736	754	110	FALSE									THIRSTY	847	https://concepticon.clld.org/parameters/847
133. afêsoel	133	afêsoel		verzadigd	satisfied	kenyang, puas	735	753	111	FALSE									FULL	1429	https://concepticon.clld.org/parameters/1429
134. mafêsoel	134	mafêsoel		zat, verzadigd	replete, satisfied	kenyang, puas	-	119	-	FALSE									SATIATED	106	https://concepticon.clld.org/parameters/106
137. niantêh	137	niantêh		slikken	to swallow	telan	118	120	-	FALSE									SWALLOW	897	https://concepticon.clld.org/parameters/897
138. mêreu'	138	mêreu'		slapen	to sleep	tidur	119	121	114	TRUE	sleep								SLEEP	1585	https://concepticon.clld.org/parameters/1585
139. mèníhí	139	mèníhí		dromen	to dream	bermimpi	120	122	115	FALSE		ocr error as bermiupi							DREAM (SOMETHING)	1920	https://concepticon.clld.org/parameters/1920
144. oemiendeu	144	oemiendeu		staan	to stand	berdiri	121	123	120	TRUE	stand								STAND	1442	https://concepticon.clld.org/parameters/1442
145. loemala-ò	145	loemala-ò		lopen	to walk	berjalan	122	124	121	TRUE	walk								WALK	1443	https://concepticon.clld.org/parameters/1443
146. mêlaq êlaq	146	mêlaq êlaq		liggen op de rug	to lie supine	telentang	124	126	123	FALSE									LIE (REST)	1411	https://concepticon.clld.org/parameters/1411
147. taloengòb loengòb	147	taloengòb loengòb		liggen op de buik	to lie prone	tiarap	125	127	124	FALSE									LIE DOWN	215	https://concepticon.clld.org/parameters/215
148. mésaré saré	148	mésaré saré		liggen (in het algemeen)	to lie	berbaring	123	125	122	TRUE	lie								LIE DOWN	215	https://concepticon.clld.org/parameters/215
149. toemata eung	149	toemata eung		zitten (op een stoel, bank etc.)	to sit (on a chair)	duduk (di atas kursi)	126	128	125	TRUE	sit								SIT DOWN	1649	https://concepticon.clld.org/parameters/1649
